,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn,T_out_star,V_static_star,dV_static_star,dV_dynamic_star,dTout_WL,V_star
0,0,0,0,0,0,0,2021年11月26日07时00分00秒,1.00379478931427,0.0,0.0330032482743263,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,20.12486267089844,23.356590270996094,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.254499435424805,11.751744270324709,7.785530567169189,10.282776832580566,6.610355854034424,13.367609024047852,8.226221084594727,-79.9926528930664,0.0091810002923011,2.323417901992798,7.3962554931640625,14.415472984313965,0.029523376156302,0.0,0.0,0.1872444599866867,7.638634204864502,23.356590270996094,20.12486267089844,21.740726470947266,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2516012519873545,1.245925407436371,1.2516012519873545,1.2577824078596964,21.740726470947266,1.2577824078596964,0.0,0.0,0.0,0.029523376156302
1,1,1,1,1,1,1,2021年11月26日07时00分20秒,1.126208782196045,0.0,0.0330032482743263,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,20.12486267089844,23.797283172607425,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.254499435424805,11.751744270324709,7.491737365722656,10.282776832580566,6.7572526931762695,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.323417901992798,7.244461059570312,14.415472984313965,0.0331237877116483,0.0,0.0,0.1872444599866867,7.638634204864502,23.797283172607425,20.12486267089844,21.961072921752933,0.0,0.204425,0.0,0.0,0.0036004115553463,0.2203464508056676,0.0001840000040829,0.0001840000040829,1.2514082838593443,1.2447811483173372,1.2514082838593443,1.2576857333483875,21.740726470947266,1.2577824078596964,0.0,0.00180020577767315,0.0808018396082665,0.029523376156302
2,2,2,2,2,2,2,2021年11月26日07时00分40秒,1.00379478931427,2.203452110290528,0.0,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,20.12486267089844,23.356590270996094,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.254499435424805,11.898641586303713,7.491737365722656,10.282776832580566,6.7572526931762695,13.367609024047852,8.226221084594727,-79.9926528930664,0.0091810002923011,2.320969581604004,7.244461059570312,14.415472984313965,0.029523376156302,2.203452110290528,5.184593200683595,0.1872444599866867,7.638634204864502,23.356590270996094,20.12486267089844,21.740726470947266,0.0,0.204425,2.203452110290528,5.184593200683595,-0.0036004115553463,-0.2203464508056676,0.0001840000040829,0.0001840000040829,1.3939287301602066,1.4627046666717287,1.4769263240423265,1.2577824078596964,21.961072921752933,1.2576857333483875,-4.833725565456248e-05,4.833725565456248e-05,-0.0855324664572734,0.0331237877116483
3,3,3,3,3,3,3,2021年11月26日07时01分00秒,1.1017260551452637,0.0,0.0,685.9456787109375,0.204425,7.638634204864502,0.1876361817121505,20.12486267089844,23.797283172607425,17.356163024902344,14.563594818115234,0.0001840000040829,0.0001840000040829,8.079324722290039,9.254499435424805,11.751744270324709,7.491737365722656,10.282776832580566,6.610355854034424,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.320969581604004,7.1685638427734375,14.415472984313965,0.0324037075042724,0.0,0.0,0.1876361817121505,7.638634204864502,23.797283172607425,20.12486267089844,21.961072921752933,0.0,0.204425,-2.203452110290528,-5.184593200683595,0.0028803313479704,0.2203464508056676,0.0001840000040829,0.0001840000040829,1.2514082838593443,1.2447811483173372,1.2514082838593443,1.2576857333483875,21.740726470947266,1.2577824078596964,0.0,-0.00036004010368795,0.0414678842694797,0.029523376156302
4,4,4,4,4,4,4,2021年11月26日07时01分20秒,1.1017260551452637,0.0,0.0550054125487804,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,20.12486267089844,23.797283172607425,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.254499435424805,11.751744270324709,7.491737365722656,9.98898220062256,6.7572526931762695,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.3197455406188965,7.3962554931640625,14.415472984313965,0.0324037075042724,0.0,0.0,0.1872444599866867,7.638634204864502,23.797283172607425,20.12486267089844,21.961072921752933,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2514082838593443,1.2447811483173372,1.2514082838593443,1.2576857333483875,21.961072921752933,1.2576857333483875,0.0,0.0014401656739852,0.02086090032385,0.0324037075042724
5,5,5,5,5,5,5,2021年11月26日07时01分40秒,1.1017260551452637,0.0,0.0550054125487804,685.9456787109375,0.204425,7.34484052658081,0.1876361817121505,20.12486267089844,23.356590270996094,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.107601165771484,11.898641586303713,7.34484052658081,10.282776832580566,6.7572526931762695,13.661402702331545,8.079324722290039,-79.9926528930664,0.0091810002923011,2.3197455406188965,7.3962554931640625,14.415472984313965,0.0324037075042724,0.0,0.0,0.1876361817121505,7.34484052658081,23.356590270996094,20.12486267089844,21.740726470947266,0.0,0.204425,0.0,0.0,0.0,-0.2203464508056676,0.0001840000040829,0.0001840000040829,1.2516012519873545,1.245925407436371,1.2516012519873545,1.2579113111613291,21.961072921752933,1.257814632663714,1.611240200904973e-05,-1.611240200904973e-05,-0.0860393039626146,0.0324037075042724
6,6,6,6,6,6,6,2021年11月26日07时02分00秒,1.1017260551452637,0.7344840168952942,0.0550054125487804,685.9456787109375,0.204425,7.34484052658081,0.1872444599866867,20.12486267089844,23.797283172607425,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.079324722290039,9.107601165771484,11.751744270324709,7.785530567169189,10.282776832580566,6.7572526931762695,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.3172972202301025,7.1685638427734375,14.415472984313965,0.0324037075042724,0.7344840168952942,1.728197686812457,0.1872444599866867,7.34484052658081,23.797283172607425,20.12486267089844,21.961072921752933,0.0,0.204425,0.7344840168952942,1.728197686812457,0.0,0.2203464508056676,0.0001840000040829,0.0001840000040829,1.3240243296004617,1.3674444246362258,1.4067360593588498,1.257814632663714,21.740726470947266,1.2579113111613291,0.00011278890647070661,-0.00011278890647070661,0.0929063398152614,0.0324037075042724
7,7,7,7,7,7,7,2021年11月26日07时02分20秒,0.9793120622634888,3.672420263290405,0.0,685.9456787109375,0.204425,7.785530567169189,0.1872444599866867,19.83106803894043,23.50348854064941,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.107601165771484,11.751744270324709,7.491737365722656,10.282776832580566,6.7572526931762695,13.367609024047852,8.226221084594727,-79.9926528930664,0.0091810002923011,2.3172972202301025,7.3962554931640625,14.415472984313965,0.0288032959489261,3.672420263290405,8.640988854800952,0.1872444599866867,7.785530567169189,23.50348854064941,19.83106803894043,21.66727828979492,0.0,0.204425,2.93793624639511,6.912791167988496,-0.0036004115553463,-0.2937946319580113,0.0001840000040829,0.0001840000040829,1.433556640277147,1.5124832398367716,1.5107884811690366,1.257750182969421,21.961072921752933,1.2576212858923455,-9.667338568442041e-05,-0.0017035323919887297,-0.114857136353013,0.0324037075042724
8,8,8,8,8,8,8,2021年11月26日07时02分40秒,1.00379478931427,2.203452110290528,0.0,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,20.12486267089844,23.797283172607425,17.356163024902344,14.582721710205078,0.0001840000040829,0.0001840000040829,8.226221084594727,9.107601165771484,11.898641586303713,7.34484052658081,10.282776832580566,6.7572526931762695,13.955196380615234,8.226221084594727,-79.9926528930664,0.0091810002923011,2.314848661422729,7.1685638427734375,14.415472984313965,0.029523376156302,2.203452110290528,5.184593200683595,0.1872444599866867,7.638634204864502,23.797283172607425,20.12486267089844,21.961072921752933,0.0,0.204425,-1.468968152999877,-3.4563956541173577,0.0007200802073759,0.2937946319580113,0.0001840000040829,0.0001840000040829,1.3921110997622037,1.458397688401462,1.475020054507049,1.2576857333483875,21.66727828979492,1.2578146330821387,-4.833903959511332e-05,-0.0013918266343900868,0.0971046664306563,0.0288032959489261
9,9,9,9,9,9,9,2021年11月26日07时03分00秒,1.00379478931427,3.672420263290405,0.0,685.9456787109375,0.204425,7.638634204864502,0.1872444599866867,19.83106803894043,23.50348854064941,17.356163024902344,14.563594818115234,0.0001840000040829,0.0001840000040829,8.079324722290039,9.107601165771484,11.751744270324709,7.34484052658081,9.842085838317873,6.7572526931762695,13.661402702331545,8.079324722290039,-79.9926528930664,0.0091810002923011,2.312400579452514,7.1685638427734375,14.415472984313965,0.029523376156302,3.672420263290405,8.640988854800952,0.1872444599866867,7.638634204864502,23.50348854064941,19.83106803894043,21.66727828979492,0.0,0.204425,1.468968152999877,3.4563956541173577,0.0,-0.2937946319580113,0.0001840000040829,0.0001840000040829,1.433556640277147,1.5124832398367716,1.5107884811690366,1.2578146330821387,21.961072921752933,1.2576857333483875,3.222372802103024e-05,0.00032781637566691975,-0.0653404090832729,0.029523376156302
